date,regime,confidence,growth_score,inflation_score
2008-01-06,TRANSITIONING,,31.467328537642093,
2008-01-07,TRANSITIONING,,31.353665856737766,
2008-01-08,TRANSITIONING,,31.56265173568738,
2008-01-09,TRANSITIONING,,31.579532665993987,
2008-01-10,TRANSITIONING,,31.531734204944964,
2008-01-11,TRANSITIONING,,31.520764889467014,
2008-01-12,TRANSITIONING,,36.54507373161835,
2008-01-13,TRANSITIONING,,36.558805328169676,
2008-01-14,TRANSITIONING,,36.69965373233534,
2008-01-15,TRANSITIONING,,36.17659739267183,
2008-01-16,TRANSITIONING,,36.280724226648545,
2008-01-17,TRANSITIONING,,36.26454334873699,
2008-01-18,TRANSITIONING,,36.5589226764772,
2008-01-19,TRANSITIONING,,37.20092843955617,
2008-01-20,TRANSITIONING,,37.21397612809459,
2008-01-21,TRANSITIONING,,37.22699664675201,
2008-01-22,TRANSITIONING,,36.919871367267234,
2008-01-23,TRANSITIONING,,36.591771044428235,
2008-01-24,TRANSITIONING,,36.739633432905414,
2008-01-25,TRANSITIONING,,36.64241683511686,
2008-01-26,TRANSITIONING,,29.995146351792105,
2008-01-27,TRANSITIONING,,30.01450428656311,
2008-01-28,TRANSITIONING,,29.54213715222488,
2008-01-29,TRANSITIONING,,30.448696152521492,
2008-01-30,TRANSITIONING,,30.30715136871204,
2008-01-31,TRANSITIONING,,30.531059745531635,
2008-02-01,TRANSITIONING,,30.3623483062532,
2008-02-02,TRANSITIONING,,31.001788198638334,
2008-02-03,TRANSITIONING,,31.02007414434176,
2008-02-04,TRANSITIONING,,31.19476796028474,
2008-02-05,TRANSITIONING,,31.027824009976236,
2008-02-06,TRANSITIONING,,31.301131753611887,
2008-02-07,TRANSITIONING,,31.895391173407923,
2008-02-08,TRANSITIONING,,32.167453446847,
2008-02-09,TRANSITIONING,,32.74997939872174,
2008-02-10,TRANSITIONING,,32.766628894545384,
2008-02-11,TRANSITIONING,,32.812726786666936,
2008-02-12,TRANSITIONING,,33.42222729553622,
2008-02-13,TRANSITIONING,,33.230148239608006,
2008-02-14,TRANSITIONING,,32.91812020705096,
2008-02-15,TRANSITIONING,,33.383744305714636,
2008-02-16,TRANSITIONING,,33.91050044344445,
2008-02-17,TRANSITIONING,,33.92597871191208,
2008-02-18,TRANSITIONING,,33.941426646192056,
2008-02-19,TRANSITIONING,,34.99509899853712,
2008-02-20,TRANSITIONING,,34.66868002097204,
2008-02-21,TRANSITIONING,,34.85654426843326,
2008-02-22,TRANSITIONING,,34.86245190123273,
2008-02-23,TRANSITIONING,,33.50623110962037,
2008-02-24,TRANSITIONING,,33.521931020552444,
2008-02-25,TRANSITIONING,,33.50131184621934,
2008-02-26,TRANSITIONING,,33.611150211294344,
2008-02-27,TRANSITIONING,,33.701980573823555,
2008-02-28,TRANSITIONING,,33.56119886889198,
2008-02-29,TRANSITIONING,,33.10728428674183,
2008-03-01,TRANSITIONING,,30.84818813854423,
2008-03-02,TRANSITIONING,,30.86611405186976,
2008-03-03,TRANSITIONING,,31.204167962680273,
2008-03-04,TRANSITIONING,,30.98556205717351,
2008-03-05,TRANSITIONING,,31.522623060328158,
2008-03-06,TRANSITIONING,,31.179681876861256,
2008-03-07,TRANSITIONING,,31.24200262869908,
2008-03-08,TRANSITIONING,,30.958602151446062,
